iter	Passed	Remaining
419	2532	3497
420	2541	3494
421	2548	3491
422	2556	3486
423	2564	3483
424	2572	3480
425	2580	3477
426	2588	3473
427	2597	3471
428	2606	3468
429	2613	3465
430	2622	3461
431	2630	3458
432	2638	3455
433	2647	3452
434	2655	3449
435	2663	3445
436	2672	3442
437	2680	3439
438	2689	3436
439	2697	3432
440	2705	3429
441	2713	3425
442	2721	3422
443	2730	3418
444	2738	3415
445	2747	3413
446	2756	3409
447	2764	3405
448	2773	3403
449	2781	3400
450	2790	3396
451	2798	3392
452	2806	3388
453	2814	3385
454	2823	3381
455	2831	3378
456	2839	3374
457	2849	3372
458	2857	3368
459	2865	3363
460	2873	3360
461	2882	3356
462	2890	3352
463	2899	3349
464	2907	3345
465	2915	3341
466	2924	3337
467	2932	3333
468	2940	3329
469	2948	3325
470	2957	3321
471	2965	3317
472	2973	3313
473	2981	3308
474	2989	3304
475	2997	3300
476	3006	3296
477	3014	3291
478	3022	3287
479	3031	3283
480	3040	3280
481	3050	3278
482	3060	3276
483	3070	3273
484	3079	3270
485	3089	3267
486	3098	3263
487	3108	3261
488	3118	3258
489	3128	3255
490	3137	3252
491	3147	3249
492	3156	3246
493	3166	3243
494	3175	3240
495	3185	3236
496	3195	3234
497	3205	3230
498	3214	3227
499	3224	3224
500	3233	3220
501	3242	3217
502	3252	3213
503	3261	3209
504	3269	3204
505	3277	3199
506	3285	3195
507	3293	3190
508	3302	3185
509	3311	3181
510	3321	3178
511	3334	3177
512	3346	3176
513	3357	3174
514	3369	3173
515	3380	3170
516	3390	3167
517	3401	3165
518	3412	3162
519	3423	3160
520	3434	3157
521	3444	3154
522	3455	3151
523	3465	3148
524	3475	3144
525	3483	3139
526	3493	3135
527	3503	3131
528	3513	3127
529	3522	3123
530	3533	3121
531	3544	3118
532	3554	3114
533	3564	3110
534	3573	3106
535	3583	3101
536	3592	3097
537	3601	3093
538	3611	3089
539	3621	3084
540	3630	3080
541	3640	3076
542	3650	3072
543	3660	3068
544	3670	3063
545	3678	3059
546	3687	3053
547	3696	3048
548	3705	3043
549	3714	3038
550	3723	3034
551	3732	3028
552	3740	3023
553	3749	3018
554	3758	3013
555	3767	3008
556	3775	3002
557	3784	2997
558	3793	2992
559	3802	2987
560	3811	2982
561	3820	2977
562	3828	2971
563	3837	2966
564	3845	2961
565	3854	2955
566	3862	2950
567	3872	2944
568	3882	2940
569	3891	2935
570	3902	2931
571	3911	2927
572	3921	2922
573	3930	2916
574	3939	2911
575	3947	2905
576	3956	2900
577	3965	2894
578	3974	2889
579	3983	2884
580	3993	2879
581	4003	2875
582	4013	2870
583	4024	2866
584	4035	2862
585	4044	2857
586	4053	2851
587	4061	2846
588	4070	2840
589	4078	2834
590	4087	2829
591	4096	2823
592	4105	2817
593	4113	2811
594	4121	2805
595	4130	2799
596	4138	2793
597	4147	2788
598	4155	2782
599	4164	2776
600	4172	2770
601	4180	2763
602	4189	2757
603	4197	2752
604	4205	2745
605	4213	2739
606	4222	2733
607	4230	2727
608	4238	2721
609	4246	2714
610	4254	2708
611	4262	2702
612	4271	2696
613	4279	2690
614	4287	2684
615	4296	2678
616	4304	2671
617	4312	2665
618	4320	2659
619	4329	2653
620	4337	2647
621	4345	2640
622	4353	2634
623	4362	2628
624	4370	2622
625	4378	2615
626	4386	2609
627	4394	2603
628	4403	2597
629	4411	2590
630	4419	2584
631	4427	2578
632	4435	2571
633	4444	2565
634	4452	2559
635	4460	2552
636	4468	2546
637	4476	2539
638	4484	2533
639	4493	2527
640	4501	2521
641	4509	2514
642	4518	2508
643	4526	2502
644	4535	2496
645	4543	2490
646	4552	2483
647	4561	2477
648	4569	2471
649	4577	2464
650	4586	2458
651	4594	2452
652	4602	2445
653	4612	2440
654	4621	2434
655	4629	2427
656	4637	2421
657	4645	2414
658	4653	2407
659	4661	2401
660	4670	2395
661	4678	2388
662	4686	2382
663	4694	2375
664	4703	2369
665	4711	2362
666	4718	2355
667	4727	2349
668	4735	2343
669	4743	2336
670	4752	2330
671	4760	2323
672	4768	2316
673	4776	2310
674	4785	2304
675	4793	2297
676	4802	2291
677	4810	2284
678	4819	2278
679	4827	2271
680	4835	2265
681	4843	2258
682	4851	2251
683	4860	2245
684	4867	2238
685	4876	2232
686	4885	2225
687	4893	2219
688	4902	2212
689	4910	2206
690	4919	2199
691	4927	2193
692	4935	2186
693	4943	2179
694	4952	2173
695	4960	2166
696	4968	2159
697	4976	2153
698	4984	2146
699	4993	2140
700	5001	2133
701	5010	2126
702	5018	2120
703	5026	2113
704	5033	2106
705	5041	2099
706	5050	2093
707	5058	2086
708	5067	2079
709	5075	2073
710	5084	2066
711	5092	2059
712	5100	2053
713	5108	2046
714	5117	2039
715	5125	2033
716	5134	2026
717	5141	2019
718	5149	2012
719	5157	2005
720	5164	1998
721	5172	1991
722	5181	1985
723	5189	1978
724	5197	1971
725	5205	1964
726	5213	1957
727	5221	1951
728	5229	1943
729	5237	1937
730	5245	1930
731	5253	1923
732	5261	1916
733	5269	1909
734	5278	1902
735	5286	1896
736	5294	1889
737	5301	1882
738	5310	1875
739	5318	1868
740	5326	1861
741	5334	1855
742	5343	1848
743	5351	1841
744	5359	1834
745	5368	1827
746	5376	1820
747	5383	1813
748	5391	1806
749	5399	1799
